worm genus;a genus of worms
crassula;type genus of crassulaceae. herbs and small shrubs having woody stems and succulent aerial parts
volvaria;agarics having pink spores and a distinct volva
burhinus;type genus of the burhinidae: stone curlews
subdivision mastigomycotina;fungi in which the spores and gametes are motile. in some systems placed in the phycomycetes group with the zygomycota
subclass copepoda;minute planktonic or parasitic crustaceans
genus hordeum;annual to perennial grasses of temperate northern hemisphere and south america: barley
thrinax;small to medium-sized fan palms
bird family;a family of warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
loranthaceae;in some classification includes viscaceae: parasitic or hemiparasitic shrublets or shrubs or small trees of tropical and temperate regions. attach to hosts by haustoria
genus dictyophera;closely related to genus phallus distinguished by an indusium hanging like a skirt from below the pileus
alcyonaria;corals and sea anemones having eight branches
genus loxoma;1 species of terrestrial ferns of new zealand
triticum;annual cereal grasses from mediterranean area. widely cultivated in temperate regions
triaenodon;a genus of triakidae
procyonidae;raccoons. coatis. cacomistles. kinkajous. and sometimes pandas
casuariiformes;a ratite bird order: cassowaries and emus
genus tolypeutes;a genus of dasypodidae
genus chiton;a genus of polyplacophora
family apogonidae;bright-colored marine fishes that incubate eggs in the mouth
chlamydera;a genus of ptilonorhynchidae
genus nerita;type genus of the neritidae
lagerstroemia;shrubs or small trees of tropical asia and africa usually with showy white, pink, or purplish flowers
genus centropristis;sea basses
subphylum urochordata;tunicates
cattail family;perennial marsh plants with creeping rootstocks and long linear leaves
genus lysichiton;skunk cabbage
genus uma;fringe-toed lizard
gerbera;genus of south african or asiatic herbs: african daisies
thamnophis;garter snakes
myxiniformes;hagfishes as distinguished from lampreys
family dicksoniaceae;tree ferns: genera dicksonia. cibotium. culcita. thyrsopteris
genyonemus;a genus of sciaenidae
genus lagopus;ptarmigans
genus oenanthe;wheatears
genus anastomus;openbills
nestor;a genus of psittacidae
genus heterotheca;genus of yellow-flowered north american herbs
genus azadirachta;genus of large important east indian trees: neem trees
wax myrtle family;constituting the order myricales
genus boltonia;genus of tall leafy perennial herbs of eastern america and eastern asia having flowers that resemble asters
grammatophyllum;small genus of large epiphytic or terrestrial orchids of southeastern asia to polynesia. the giants of the orchidaceae having long narrow leaves and drooping flower clusters often 6 feet long
family cannaceae;coextensive with the genus canna
genus brya;genus of prickly shrubs and small trees of the caribbean region. source of a durable hardwood
genus eugenia;tropical trees and shrubs with aromatic leaves and often valuable hard wood
styracaceae;a widely distributed family of shrubs and trees of order ebenales
vespidae;an arthropod family of the order hymenoptera including: yellow jackets. hornets. mason wasps
genus pandanus;type genus of the pandanaceae (as screw pines)
family onagraceae;a large and widely distributed family of plants of the order myrtales
psocoptera;an order of insects: includes booklice and barklice
family pinaceae;a family of pinaceae
family cymatiidae;tritons
heleodytes;alternative classifications for the cactus wrens
order cestida;ctenophore having short tentacles. one family
chelonia;green turtles
family tulostomataceae;stalked puffballs
marattia;type genus of the marattiaceae: ferns having the sporangia fused together in two rows
chamaeleo;type genus of the chamaeleontidae
rangifer;reindeer or caribou
omomyid group;extinct tiny nocturnal lower primates that fed on fruit and insects. abundant in north america and europe 30 to 50 million years ago. probably gave rise to the tarsiers. some authorities consider them ancestral to anthropoids but others consider them only cousins
phylum echinodermata;radially symmetrical marine invertebrates including e.g. starfish and sea urchins and sea cucumbers
genus andropogon;tall annual or perennial grasses with spikelike racemes. warm regions
ancylostomatidae;hookworms
genus desmanthus;genus of american herbs or shrubs with sensitive pinnate leaves and small whitish flowers
thylacinus;tasmanian wolf
anobiidae;deathwatch beetles
genus chateura;a genus of apodidae
morchella;genus of edible fungi: morel
apterygidae;coextensive with the order apterygiformes
heterosomata;flatfishes: halibut. sole. flounder. plaice. turbot. tonguefishes
genus gavialis;type genus of the gavialidae
genus pyrularia;small genus of chiefly asiatic parasitic shrubs
parathelypteris;terrestrial ferns of warm and tropical asia and north america
family gerridae;mojarras
genus ilex;a large genus of dicotyledonous trees and shrubs of the family aquifoliaceae that have small flowers and berries (including hollies)
family helvellaceae;family of false morels or lorchels. some are edible and some are poisonous
family alcidae;web-footed diving seabirds of northern seas: auks. puffins. guillemots. murres. etc.
siphonophora;marine colonial hydrozoans
trombidiidae;mites
order araneae;spiders
kingdom monera;prokaryotic bacteria and blue-green algae and various primitive pathogens. because of lack of consensus on how to divide the organisms into phyla informal names are used for the major divisions
zygnemales;pond scums. desmids
pica;magpies
genus dama;fallow deer
family palinuridae;spiny lobsters
genus loxodonta;a genus of elephantidae
pycnanthemum;american mountain mint
genus penelope;a genus of guans (turkey-like arboreal birds valued as game and food birds)
acer palmatum;ornamental shrub or small tree of japan and korea with deeply incised leaves. cultivated in many varieties
genus clinopodium;wild basil
suborder megaloptera;in some classifications considered a separate order: alderflies. dobsonflies. snake flies
reticulitermes;includes species highly destructive to structures and living trees
genus parnassia;genus of bog herbs of arctic and northern temperate regions
order marchantiales;liverworts with gametophyte differentiated internally
iliamna;small genus of perennial herbs or subshrubs. some often placed in other genera
parochetus;1 species: shamrock pea
suborder blattaria;cockroaches. in some classifications considered an order
genus crescentia;a genus of tropical american trees of the family bignoniaceae. has a short trunk and crooked limbs and drooping branches
family sphaeriaceae;parasitic fungi having globose and sometimes necked or beaked perithecia
sugar maple;maple of eastern and central north america having 3- to 5-lobed leaves and hard close-grained wood much used for cabinet work especially the curly-grained form. sap is chief source of maple syrup and maple sugar. many subspecies
family campanulaceae;in some classifications includes lobeliaciae
cucurbit;any plant of the family cucurbitaceae
order mycoplasmatales;coextensive with the family mycoplasmatacaea
burmannia;type genus of the burmanniaceae. slender herbs of warm regions with leaves resembling scales and flowers with a 3-angled or 3-winged perianth
chalcidae;an arthropod family including: chalcidflies
lophophorus;monals
trogium;a genus of psocidae
macronectes;giant petrels
eriodictyon;small genus of evergreen shrubs of southwestern united states and mexico
genus abelia;chiefly east asian shrubs
genus arctium;burdock
sertularia;sessile hydroid that forms feathery colonies
raphanus;radish
genus gerea;small genus of hairy herbs with yellow flowers
hydrangea family;sometimes included in the family saxifragaceae
limax;a genus of limacidae
lindheimera;1 species: texas star
antigonia;a genus of fish in the family caproidae
salviniaceae;water ferns
polypodium;a genus of ferns belonging to the family polypodiaceae and having rounded naked sori
order hymenoptera;an order of insects including: bees. wasps. ants. ichneumons. sawflies. gall wasps. etc.
family pandionidae;ospreys
genus pedilanthus;tropical american succulent shrubs
loganiaceae;a dicotyledonous family of plants of order gentianales
family lepismatidae;firebrats
echium;a genus of bristly herbs and shrubs of the family boraginaceae
family megachilidae;leaf-cutting and mason bees
mammal family;a family of mammals
thalassoma;a genus of labridae
family orectolobidae;nurse sharks and carpet sharks
genus quercus;oaks
oreortyx;mountain quail of western united states
genus encelia;genus of shrubs of southwestern united states and mexico: brittlebush
