tightfistedness;extreme stinginess
informality;freedom from constraint or embarrassment. 'i am never at ease with strangers'
expanse;the extent of a 2-dimensional surface enclosed within a boundary. 'the area of a rectangle'. 'it was about 500 square feet in area'
sparkle;the quality of glittering or sparkling brightly
fluidness;the property of flowing easily
abandon;the trait of lacking restraint or control. freedom from inhibition or worry. 'she danced with abandon'
luridness;the quality of being ghastly
popularity;the quality of being widely admired or accepted or sought after: 'his charm soon won him affection and popularity'. 'the universal popularity of american movies'
effeminateness;the trait of being effeminate (derogatory of a man)
deservingness;the quality of being deserving (e.g., deserving assistance). 'there were many children whose deservingness he recognized and rewarded'
inconstancy;unfaithfulness by virtue of being unreliable or treacherous
incessantness;the quality of something that continues without end or interruption
mischief;the quality or nature of being harmful or evil
uppishness;assumption of airs beyond one's station
frivolousness;the trait of being frivolous. not serious or sensible
nonindulgence;the trait of great self-denial (especially refraining from worldly pleasures)
master of divinity;a master's degree in religion
harmfulness;the quality of being noxious
bachelor of literature;a bachelor's degree in literature
brilliance;great brightness. 'a glare of sunlight'. 'the flowers were a blaze of color'
softness;a disposition to be lenient in judging others. 'softness is not something permitted of good leaders'
uprightness;the property of being upright in posture
mutableness;the quality of being capable of mutation
draft;the depth of a vessel's keel below the surface (especially when loaded)
substantiality;the quality of being substantial or having substance
suppleness;the property of being pliant
chromatism;abnormal pigmentation
subordination;the quality of obedient submissiveness
chest voice;the lower ranges of the voice in speaking or singing
ash gray;a light shade of gray
tenuity;relatively small dimension through an object as opposed to its length or width: 'the tenuity of a hair'. 'the thinness of a rope'
dark red;a red that reflects little light
sacredness;the quality of being sacred
sluggishness;an unusual lack of energy
rottenness;the quality of rotting and becoming putrid
presentness;the quality of being the present: 'a study of the pastness of the present and...of the presentness of the past'- r.e.spiller
providence;the prudence and care exercised by someone in the management of resources
raw beauty;beauty that is stark and powerfully impressive
emaciation;leanness (usually caused by starvation)
willingness;cheerful compliance: 'he expressed his willingness to help'
diminutiveness;the property of being very small in size
excellence;the quality of excelling. possessing good qualities in high degree
humanity;the quality of being humane
getaway;the attribute of being capable of rapid acceleration. 'his car has a lot of pickup'
indeterminancy;the quality of being vague and poorly defined
logicality;correct and valid reasoning
morbidity;the quality of being unhealthful and generally bad for you
plentifulness;a full supply. 'there was plenty of food for everyone'
associableness;the capability of being easily associated or joined or connected in thought
shoddiness;the property of weakness by virtue of careless construction
propitiousness;the favorable quality of strongly indicating a successful result
circularity;the roundness of a 2-dimensional figure
unhealthfulness;the quality of promoting poor health
speechlessness;the property of being speechless
aliveness;having animal life as distinguished from plant life: 'full of life'
capability;the quality of being capable -- physically or intellectually or legally. 'he worked to the limits of his capability'
romanticism;impractical romantic ideals and attitudes
tone;(linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages. 'the beijing dialect uses four tones'
decorum;propriety in manners and conduct
irritability;a disposition to exhibit uncontrolled anger. 'his temper was well known to all his employees'
potency;capacity to produce strong physiological or chemical effects: 'the toxin's potency'. 'the strength of the drinks'
