alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
atomic number;a heavy gray-white metallic element. the pure form is used mainly in electrical applications. it is found in several ores including wolframite and scheelite
lanthanide;any element of the lanthanide series (atomic numbers 57' through 71')
trichloroacetic acid;a strong acid made by chlorinating acetic acid
lithonate;a white powder (lico3) used in manufacturing glass and ceramics and as a drug. the drug (trade names lithane or lithonate) is used to treat some forms of depression and manic episodes of manic-depressive disorder
birch beer;carbonated drink containing an extract from bark of birch trees
producer gas;a gas made of carbon monoxide and hydrogen and nitrogen. made by passing air over hot coke
rh antibody;rhesus factor antibody
grease;a thick fatty oil (especially one used to lubricate machinery)
mixer;club soda or fruit juice used to mix with alcohol
serotonin;a neurotransmitter involved in e.g. sleep and depression and memory
chert;variety of silica containing microcrystalline quartz
capuccino;equal parts of espresso and hot milk topped with cinnamon and nutmeg and usually whipped cream
kava;(polynesian) an alcoholic drink made from the aromatic roots of the kava shrub
bilge;water accumulated in the bilge of a ship
battery acid;dilute sulfuric acid used in storage batteries
double salt;a solid solution of two simple salts
beer;fermented alcoholic beverage brewed from malt and hops
resin;any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
formic acid;a colorless. pungent fuming vesicatory liquid acid hcooh found in ants and many plants. used in finishing textiles
skim milk;milk from which the cream has been skimmed
glycine;the principal amino acid in sugar cane
soda pop;a sweet drink containing carbonated water and flavoring. 'in new england they call sodas tonics'
jug wine;inexpensive wine sold in large bottles or jugs
butene;any of three isomeric hydrocarbons c4h8. all used in making synthetic rubbers
fibrinogen;a globulin present in blood plasma. converts to fibrin when blood clots
element;a radioactive transuranic element which has been synthesized
rhone wine;any of various wines from the rhone river valley in france
plexiglas;(trademark) a light transparent weather resistant thermoplastic
atomic number;a toxic nonmetallic element related to sulfur and tellurium. occurs in several allotropic forms. a stable gray metallike allotrope conducts electricity better in the light than in the dark and is used in photocells. occurs in sulfide ores (as pyrite)
oxaloacetic acid;an acid formed by oxidation of maleic acid (as in metabolism of fats and carbohydrates)
tar;any of various dark heavy viscid substances obtained as a residue
polyester;any of numerous synthetic resins. they are light and strong and weather resistant
iodine;a nonmetallic element belonging to the halogens. used especially in medicine and photography and in dyes. occurs naturally only in combination in small quantities (as in sea water or rocks)
ketone body;any of three compounds (acetoacetic acid, acetone, and/or beta-hydroxybutyric acid) found in excess in blood and urine of persons with metabolic disorders
at;a highly unstable radioactive element (the heaviest of the halogen series). a decay product of uranium and thorium
imidazole;an organic base c3h4n2. a histamine inhibitor
abo antibodies;blood type antibodies
ammonium chloride;a white salt used in dry cells
pulp;any soft or soggy mass. 'he pounded it to a pulp'
sulfonic acid;n acid derived from sulphuric acid
arum;sagolike starch obtained from cuckoopint root
ethane;a colorless odorless gas used as fuel
tartar;a salt used especially in baking powder
acrylic;a glassy thermoplastic. can be cast and molded or used in coatings and adhesives
iced coffee;strong sweetened coffee served over ice with cream
wool grease;a yellow viscous animal oil extracted from wool. a mixture of fatty acids and esters. used in some ointments and cosmetics
barium oxide;an oxide of barium. a whitish toxic powder
lacrimator;a gas that makes the eyes fill with tears but does not damage them. used in dispersing crowds
bayberry tallow;a fragrant green wax obtained from the wax myrtle and used in making candles
high density lipoprotein;a lipoprotein that transports cholesterol in the blood. high levels are thought to be associated with decreased risk of coronary heart disease and atherosclerosis
provitamin a;an orange isomer of an unsaturated hydrocarbon found in many plants. is converted into vitamin a in the liver
vanadium;a soft silvery white toxic metallic element used in steel alloys. it occurs in several complex minerals including carnotite and vanadinite
cracklings;the crisp residue left after lard has been rendered
iminazole;an organic base c3h4n2. a histamine inhibitor
hexacosanoic acid;a white solid fatty acid found in waxes (such as beeswax)
polyphosphate;a salt or ester of polyphosphoric acid
swamp;low land that is seasonally flooded. has more woody plants than a marsh and better drainage than a bog
silica;a white or colorless vitreous insoluble solid. various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechartelierite
atar;essential oil or perfume obtained from flowers
nickel alloy;an alloy whose main constituent is nickel
sublimate;the product of vaporization of a solid
coal oil;a dark oil consisting mainly of hydrocarbons
calvados;dry apple brandy made in normandy
alpha bronze;a copper-tin alloy that can be worked
neptunium;a radioactive transuranic metallic element. found in trace amounts in uranium ores. a by-product of the production of plutonium
inert gas;any of the chemically inert gaseous elements of the helium group (group 8a or 0 of the periodic table)
irish whiskey;made in ireland chiefly from barley
polymethyl methacrylate;a transparent plastic used as a substitute for glass
hydrochloride;a complex consisting of an organic base in association with hydrogen chloride
fallow;cultivated land that is not seeded for one or more growing seasons
muscatel;wine from muscat grapes
siloxane;any of a large class of compounds that have alternate silicon and oxygen atoms
aluminum bronze;a copper-aluminum alloy with high tensile strength and resistance to corrosion
calcium hydride;a salt-like compound (cah2) used as a reducing agent and source of hydrogen
hydrogen;a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas. the simplest and lightest and most abundant element in the universe
polyunsaturated fatty acid;an unsaturated fatty acid whose carbon chain has more than one double or triple valence bond per molecule. found chiefly in fish and corn and soybean oil and safflower oil
